sensor_id,timestamp,ph,turbidity,dissolved_oxygen,temperature,is_safe,status_text
SENSOR_012,2023-01-01 15:30:00,6.28,3.04,6.14,25.22,False,"Unsafe (pH too low, turbidity too high)"
SENSOR_012,2023-01-01 18:00:00,7.55,2.04,7.5,17.29,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-01 18:30:00,7.26,3.99,7.36,23.04,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-01 23:00:00,7.31,0.93,5.94,22.57,True,Safe
SENSOR_012,2023-01-02 04:30:00,7.07,2.16,9.76,18.64,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-02 05:30:00,7.63,2.45,12.9,22.73,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-02 11:30:00,6.72,2.77,10.35,17.33,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-02 19:30:00,7.17,2.58,6.96,21.31,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-02 23:30:00,6.73,2.85,7.11,18.13,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-03 04:00:00,7.91,3.56,8.03,18.71,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-03 04:30:00,6.4,3.49,8.31,26.82,False,"Unsafe (pH too low, turbidity too high)"
SENSOR_012,2023-01-04 03:00:00,6.91,5.35,6.9,21.06,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-04 04:00:00,6.84,3.47,7.54,27.52,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-04 09:00:00,6.9,2.71,8.8,22.45,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-04 11:30:00,7.07,2.11,6.38,22.1,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-05 07:00:00,6.85,2.45,9.24,26.85,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-05 16:30:00,6.47,2.88,6.15,25.64,False,"Unsafe (pH too low, turbidity too high)"
SENSOR_012,2023-01-06 05:30:00,7.5,2.74,8.79,19.96,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-06 08:00:00,7.4,3.69,7.22,24.31,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-06 12:30:00,7.46,2.18,6.4,24.21,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-08 08:00:00,7.32,2.55,7.78,19.93,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-09 07:30:00,6.77,2.42,6.71,23.09,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-09 16:00:00,6.42,1.82,9.14,17.86,False,"Unsafe (pH too low, turbidity too high)"
SENSOR_012,2023-01-10 03:30:00,6.97,3.74,9.06,22.74,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-10 05:30:00,7.01,0.41,5.51,24.14,True,Safe
SENSOR_012,2023-01-10 09:30:00,7.09,2.62,10.24,20.55,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-10 12:30:00,7.06,3.61,3.82,19.73,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-10 22:30:00,6.63,2.61,6.7,24.34,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-13 04:30:00,7.05,3.63,6.46,20.66,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-13 18:30:00,7.71,2.55,6.14,22.63,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-13 20:30:00,7.1,3.44,11.03,21.04,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-14 19:00:00,7.45,2.75,8.01,25.29,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-14 21:30:00,7.27,3.88,8.66,19.66,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-15 19:30:00,6.53,2.48,7.47,24.84,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-15 23:30:00,6.92,3.5,7.23,20.18,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-16 03:00:00,7.03,4.1,6.97,17.72,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-16 05:30:00,7.0,2.8,5.68,21.35,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-16 16:00:00,6.63,4.32,8.78,25.5,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-17 11:30:00,6.75,2.93,4.22,24.29,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-17 12:00:00,7.65,2.67,7.63,24.06,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-17 21:30:00,7.04,2.92,6.29,21.71,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-18 15:00:00,6.92,4.35,6.93,21.82,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-19 06:00:00,6.63,1.81,6.07,24.59,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-19 09:00:00,7.14,3.32,8.98,20.48,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-20 09:30:00,6.55,4.07,8.53,22.39,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-20 15:00:00,6.1,4.57,6.96,21.7,False,"Unsafe (pH too low, turbidity too high)"
SENSOR_012,2023-01-20 16:30:00,7.7,2.07,10.47,21.49,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-21 05:00:00,6.8,2.56,6.9,22.3,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-21 08:30:00,6.71,3.33,8.6,15.33,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-21 10:00:00,7.46,3.65,8.99,17.92,False,Unsafe (turbidity too high)
SENSOR_012,2023-01-21 16:00:00,7.03,3.51,6.97,19.53,False,Unsafe (turbidity too high)
